# Eukaryotic PQQ-ADH discriminator results — Colin's 03_Euk batch
# DFT vertical Ca²⁺/Ln³⁺ swap discriminator at r²SCAN-3c CPCM(Water)
# carve_with_pqq.py pipeline (PQQ cofactor included in QM region)
# Tiers: Ln-evolved ≥+20, Ln-preferring +5 to +20, marginal 0 to +5,
#        ambiguous −5 to 0, Ca-evolved −5 to −30, OUTLIER <−30 (likely Mn/Zn pocket)
rank	uniprot	domain	ddE_kcal	class	iptm_La_fold	ptm_protein	ranking_score	n_atoms_QM	source_cif
17	A0A517KZF6	domain1	+8.16	Ln-preferring	0.970	0.930	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a517kzf6_domain1chaina-pqq-la_model.cif
18	A0A1V8U0B7	domain3	+7.46	Ln-preferring	0.870	0.920	0.880	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1v8u0b7_domain3chaina-pqq-la_model.cif
19	A0A3E2HET7	domain1	+7.37	Ln-preferring	0.980	0.930	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a3e2het7_domain1chaina-pqq-la_model.cif
20	A0A433DE34	domain1	+7.22	Ln-preferring	0.970	0.900	0.960	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a433de34_domain1chaina-pqq-la_model.cif
21	A0A2J6PXR2	domain1	+6.10	Ln-preferring	0.970	0.930	0.960	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2j6pxr2_domain1chaina-pqq-la_model.cif
22	A0A1R3GAW4	domain1	+3.12	marginal	0.970	0.940	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1r3gaw4_domain1chaina-pqq-la_model.cif
23	A0A364NH14	domain1	+3.09	marginal	0.900	0.950	0.910	25	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a364nh14_domain1chaina-pqq-la_model.cif
24	A0A194XL73	domain1	+2.82	marginal	0.970	0.920	0.960	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a194xl73_domain1chaina-pqq-la_model.cif
25	A0A4U0XF03	domain1_contig	+1.64	marginal	0.970	0.850	0.990	49	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a4u0xf03_domain1_contigchaina-pqq-la_model.cif
26	A0A3N4LAV8	domain1	+1.32	marginal	0.980	0.950	0.970	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a3n4lav8_domain1chaina-pqq-la_model.cif
27	A0A2P5YM18	domain1	+1.11	marginal	0.960	0.850	0.940	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2p5ym18_domain1chaina-pqq-la_model.cif
28	A0A507BGA0	domain1	+1.06	marginal	0.980	0.950	0.970	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a507bga0_domain1chaina-pqq-la_model.cif
29	A0A3N4IEB1	domain1	+0.44	marginal	0.950	0.940	0.940	18	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a3n4ieb1_domain1chaina-pqq-la_model.cif
30	A0A2J7ZWP3	domain2	+0.18	marginal	0.980	0.940	0.970	51	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2j7zwp3_domain2chaina-pqq-la_model.cif
31	A0A2B7Z2X7	domain1	-0.25	ambiguous	0.980	0.940	0.970	39	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2b7z2x7_domain1chaina-pqq-la_model.cif
32	A0A1X7RYS5	domain1	-0.78	ambiguous	0.980	0.960	0.970	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1x7rys5_domain1chaina-pqq-la_model.cif
33	A0A2J6SGG2	domain1	-0.95	ambiguous	0.970	0.930	0.990	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2j6sgg2_domain1chaina-pqq-la_model.cif
34	A0A2Z6R3L1	domain1	-1.80	ambiguous	0.900	0.930	0.900	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2z6r3l1_domain1chaina-pqq-la_model.cif
35	A0A2S6C512	domain1	-1.93	ambiguous	0.980	0.960	0.980	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2s6c512_domain1chaina-pqq-la_model.cif
36	A0A0D2A1I3	domain1	-3.02	ambiguous	0.980	0.940	0.970	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a0d2a1i3_domain1chaina-pqq-la_model.cif
37	A0A420Y7B6	domain1	-3.99	ambiguous	0.980	0.950	0.970	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a420y7b6_domain1chaina-pqq-la_model.cif
38	A0A3N4JPM1	domain1	-4.68	ambiguous	0.960	0.920	0.960	41	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a3n4jpm1_domain1chaina-pqq-la_model.cif
39	A0A383V357	domain3	-6.72	Ca-evolved	0.940	0.930	0.940	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a383v357_domain3chaina-pqq-la_model.cif
40	A0A2J6THH5	domain1	-7.65	Ca-evolved	0.850	0.590	0.810	51	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2j6thh5_domain1chaina-pqq-la_model.cif
41	A0A445AN13	domain2	-11.53	Ca-evolved	0.940	0.750	0.930	44	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a445an13_domain2chaina-pqq-la_model.cif
42	A0A0L0DFS6	domain1	-12.39	Ca-evolved	0.750	0.760	0.750	48	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a0l0dfs6_domain1chaina-pqq-la_model.cif
43	A0A3E2HJ77	domain1	-12.63	Ca-evolved	0.830	0.700	0.810	45	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a3e2hj77_domain1chaina-pqq-la_model.cif
44	A0A2I0I051	domain1	-13.01	Ca-evolved	0.820	0.840	0.850	25	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2i0i051_domain1chaina-pqq-la_model.cif
45	A0A0R0FG53	domain1	-19.95	Ca-evolved	0.910	0.850	0.900	50	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a0r0fg53_domain1chaina-pqq-la_model.cif
46	A0A1R3I9G2	domain1_contig	-28.90	Ca-evolved	0.530	0.470	0.520	25	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1r3i9g2_domain1_contigchaina-pqq-la_model.cif
47	A0A2V0PA93	domain1_contig	-45.79	OUTLIER	0.890	0.770	0.950	32	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2v0pa93_domain1_contigchaina-pqq-la_model.cif
48	A0A0D2MSM5	domain1_contig	-49.27	OUTLIER	0.780	0.630	0.880	32	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a0d2msm5_domain1_contigchaina-pqq-la_model.cif
49	A0A1Y1YYK9	domain1	-66.00	OUTLIER	0.670	0.610	0.740	25	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1y1yyk9_domain1chaina-pqq-la_model.cif
50	A0A251R3T9	domain1	-392.39	OUTLIER	0.450	0.470	0.450	25	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a251r3t9_domain1chaina-pqq-la_model.cif
