# DFT Ca²⁺/Ln³⁺ discriminator — Ln-class hits (ΔΔE ≥ +5 kcal/mol), enriched with spicy_lams Sharur DB annotations
rank	stem	source	iptm	n_atoms	ddE_kcal	class	spicy_class	pfam	ko	novel	length_aa	bin_id	gene_id	fp_note	cif_path	workspace_path
68	03_Euk_a0a4u0vdq8_domain1chaina-pqq-la_model	unknown	-		+14.35	Ln-preferring	-	-	-	-	-	-	-			
69	NZ_LSIC01000208_1_28_iptm0_990_s0	spicylams	0.990		+14.31	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_001556045.1_ASM155604v1_genomic	NZ_LSIC01000208.1_28			
70	NZ_LWIG01000012_1_232_iptm0_990_s0	spicylams	0.990		+14.22	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_002068095.1_ASM206809v1_genomic	NZ_LWIG01000012.1_232			
71	NZ_JADPJJ010000055_1_268_iptm0_990_s0	spicylams	0.990		+14.09	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023073375.1_ASM2307337v1_genomic	NZ_JADPJJ010000055.1_268			
72	NZ_JAFCKS010000014_1_28_iptm0_991_s0	spicylams	0.991		+14.07	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_018129995.1_ASM1812999v1_genomic	NZ_JAFCKS010000014.1_28			
73	NZ_VSST01000002_1_29_iptm0_990_s0	spicylams	0.990		+14.02	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_019402665.1_ASM1940266v1_genomic	NZ_VSST01000002.1_29			
74	NZ_AUFA01000004_1_185_iptm0_989_s0	spicylams	0.989		+13.94	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_000426265.1_ASM42626v1_genomic	NZ_AUFA01000004.1_185			
75	NZ_RQIT01000014_1_113_iptm0_991_s0	spicylams	0.991		+13.94	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_003837805.1_ASM383780v1_genomic	NZ_RQIT01000014.1_113			
76	03_Euk_a0a8j4w178_domain1chaina-pqq-la_model	unknown	-		+13.89	Ln-preferring	-	-	-	-	-	-	-			
77	NZ_MZXW01000050_1_239_iptm0_990_s0	spicylams	0.990		+13.79	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004123905.1_ASM412390v1_genomic	NZ_MZXW01000050.1_239			
78	NZ_FOVU01000008_1_38_iptm0_990_s0	spicylams	0.990		+13.75	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_900115265.1_IMG-taxon_2651870122_annotated_assembly_genomic	NZ_FOVU01000008.1_38			
79	NZ_SPQU01000007_1_125_iptm0_990_s0	spicylams	0.990		+13.72	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004571045.1_ASM457104v1_genomic	NZ_SPQU01000007.1_125			
80	A0A4P7SKL6_actinobacteriota	colin_extras	-		+13.70	Ln-preferring	-	-	-	-	-	-	-			
81	NZ_JAFCJT010000030_1_30_iptm0_990_s0	spicylams	0.990		+13.68	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_018130785.1_ASM1813078v1_genomic	NZ_JAFCJT010000030.1_30			
82	NZ_JAFCLP010000016_1_10_iptm0_990_s0	spicylams	0.990		+13.67	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_018129405.1_ASM1812940v1_genomic	NZ_JAFCLP010000016.1_10			
83	NZ_VSSS01000011_1_53_iptm0_990_s0	spicylams	0.990		+13.62	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_008123425.1_ASM812342v1_genomic	NZ_VSSS01000011.1_53			
84	NZ_PYFX01000022_1_40_iptm0_989_s0	spicylams	0.989		+13.61	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_003020115.1_ASM302011v1_genomic	NZ_PYFX01000022.1_40			
85	NZ_JBGCBO010000001_1_1217_iptm0_990_s0	spicylams	0.990		+13.59	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_041262545.1_ASM4126254v1_genomic	NZ_JBGCBO010000001.1_1217			
86	NZ_CP030051_1_2212_iptm0_990_s0	spicylams	0.990		+13.58	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_004114975.1_ASM411497v1_genomic	NZ_CP030051.1_2212			
87	NZ_JACOFR010000032_1_50_iptm0_990_s0	spicylams	0.990		+13.51	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_019455385.1_ASM1945538v1_genomic	NZ_JACOFR010000032.1_50			
88	NZ_JAFCKT010000017_1_45_iptm0_989_s0	spicylams	0.989		+13.47	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_018129985.1_ASM1812998v1_genomic	NZ_JAFCKT010000017.1_45			
89	NZ_JADPKT010000084_1_230_iptm0_990_s0	spicylams	0.990		+13.41	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_023074075.1_ASM2307407v1_genomic	NZ_JADPKT010000084.1_230			
90	NZ_AUGD01000012_1_162_iptm0_991_s0	spicylams	0.991		+13.37	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000426845.1_ASM42684v1_genomic	NZ_AUGD01000012.1_162			
91	NZ_FMAI01000037_1_8_iptm0_990_s0	spicylams	0.990		+13.36	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_900094605.1_IMG-taxon_2617270735_annotated_assembly_genomic	NZ_FMAI01000037.1_8			
92	NZ_NAEX01000176_1_115_iptm0_990_s0	spicylams	0.990		+13.30	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_002108675.1_ASM210867v1_genomic	NZ_NAEX01000176.1_115			
93	03_Euk_a0a420ycp2_domain1chaina-pqq-la_model	unknown	-		+13.30	Ln-preferring	-	-	-	-	-	-	-			
94	NZ_JAFCKB010000005_1_275_iptm0_990_s0	spicylams	0.990		+13.29	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_018130615.1_ASM1813061v1_genomic	NZ_JAFCKB010000005.1_275			
95	NZ_JABMCJ010000084_1_105_iptm0_951_rank0	unknown	-		+13.27	Ln-preferring	-	-	-	-	-	-	-			
96	a0a1s4ant3-la-pqq_model	unknown	-		+13.25	Ln-preferring	-	-	-	-	-	-	-			
97	VAZP01000222_1_12_iptm0_973_s0	spicylams	0.973		+13.24	Ln-preferring	small_unannotated_candidate_marco	-	-	1	115	GCA_005882475.1_ASM588247v1_genomic	VAZP01000222.1_12			
98	03_Euk_a0a5n6r0h0_domain1chaina-pqq-la_model	unknown	-		+13.23	Ln-preferring	-	-	-	-	-	-	-			
99	03_Euk_a0a6j5wv68_domain2chaina-pqq-la_model	unknown	-		+13.20	Ln-preferring	-	-	-	-	-	-	-			
100	NZ_AXAS01000040_1_44_iptm0_991_s0	spicylams	0.991		+13.19	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_000472925.1_ASM47292v1_genomic	NZ_AXAS01000040.1_44			
101	NZ_JACIDN010000003_1_575_iptm0_990_s0	spicylams	0.990		+13.14	Ln-preferring	-	-	-	-	-	-	-			
102	jabmcj_105_efhand5	unknown	-		+13.14	Ln-preferring	-	-	-	-	-	-	-			
103	03_Euk_a0a1y1irx0_domain1chaina-pqq-la_model	unknown	-		+13.14	Ln-preferring	-	-	-	-	-	-	-			
104	RXJC01000147_1_21_iptm0_990_s0	spicylams	0.990		+13.09	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCA_003963435.1_ASM396343v1_genomic	RXJC01000147.1_21			
105	03_Euk_a0a815a8z3_domain1chaina-pqq-la_model	unknown	-		+13.09	Ln-preferring	-	-	-	-	-	-	-			
106	03_Euk_a0a1r3gaw4_domain2chaina-pqq-la_model	unknown	-		+13.06	Ln-preferring	-	-	-	-	-	-	-			
107	03_Euk_r8bdi3_domain1chaina-pqq-la_model	unknown	-		+13.06	Ln-preferring	-	-	-	-	-	-	-			
108	NC_004463_1_6354_iptm0_990_s0	spicylams	0.990		+13.03	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_000011365.1_ASM1136v1_genomic	NC_004463.1_6354			
109	NZ_JACCHQ010000010_1_102_iptm0_991_s0	spicylams	0.991		+13.02	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_016031655.1_ASM1603165v1_genomic	NZ_JACCHQ010000010.1_102			
110	NZ_PYFW01000014_1_47_iptm0_990_s0	spicylams	0.990		+13.02	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_003020125.1_ASM302012v1_genomic	NZ_PYFW01000014.1_47			
111	NZ_FOUS01000018_1_118_iptm0_990_s0	spicylams	0.990		+12.96	Ln-preferring	-	-	-	-	-	-	-			
112	NZ_CP067100_1_2546_iptm0_990_s0	spicylams	0.990		+12.95	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_016616235.1_ASM1661623v1_genomic	NZ_CP067100.1_2546			
113	NZ_VITY01000007_1_28_iptm0_968_s0	spicylams	0.968		+12.92	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_007993935.1_ASM799393v1_genomic	NZ_VITY01000007.1_28			
114	03_Euk_a0aae0i1l4_domain1chaina-pqq-la_model	unknown	-		+12.88	Ln-preferring	-	-	-	-	-	-	-			
115	NZ_JAPRAQ010000023_1_100_iptm0_987_s0	spicylams	0.987		+12.87	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	604	GCF_029989365.1_ASM2998936v1_genomic	NZ_JAPRAQ010000023.1_100			
116	00_Lav_mmol_2048-pqq-la_model	unknown	-		+12.87	Ln-preferring	-	-	-	-	-	-	-			
117	NZ_CP061379_1_2065_iptm0_990_s0	spicylams	0.990		+12.85	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_015624505.1_ASM1562450v1_genomic	NZ_CP061379.1_2065			
118	NZ_NWTI01000013_1_174_iptm0_990_s0	spicylams	0.990		+12.83	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_002531575.1_ASM253157v1_genomic	NZ_NWTI01000013.1_174			
119	03_Euk_a0a2k1j2r4_domain1chaina-pqq-la_model	unknown	-		+12.71	Ln-preferring	-	-	-	-	-	-	-			
120	NZ_CP036533_1_6388_iptm0_968_s0	spicylams	0.968		+12.69	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_024585265.1_ASM2458526v1_genomic	NZ_CP036533.1_6388			
121	NZ_AXAZ01000036_1_56_iptm0_990_s0	spicylams	0.990		+12.60	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000473065.1_ASM47306v1_genomic	NZ_AXAZ01000036.1_56			
122	NZ_LSEF01000033_1_112_iptm0_990_s0	spicylams	0.990		+12.52	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_001641695.1_ASM164169v1_genomic	NZ_LSEF01000033.1_112			
123	NZ_JYMR01000056_1_195_iptm0_989_s0	spicylams	0.989		+12.43	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000938255.1_ASM93825v1_genomic	NZ_JYMR01000056.1_195			
124	NZ_JADYVS010000003_1_80_iptm0_991_s0	spicylams	0.991		+12.42	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_020194055.1_ASM2019405v1_genomic	NZ_JADYVS010000003.1_80			
125	NZ_CP030048_1_2130_iptm0_990_s0	spicylams	0.990		+12.31	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_015291665.1_ASM1529166v1_genomic	NZ_CP030048.1_2130			
126	NZ_JADPJH010000028_1_321_iptm0_990_s0	spicylams	0.990		+12.25	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023073315.1_ASM2307331v1_genomic	NZ_JADPJH010000028.1_321			
127	A0A316ECB3_actinobacteriota	colin_extras	-		+12.13	Ln-preferring	-	-	-	-	-	-	-			
128	ferncalmod_A0A8T2TXN1	vault_panel	-		+12.09	Ln-preferring	-	-	-	-	-	-	-			
129	03_Euk_a0aa39whb7_domain1chaina-pqq-la_model	unknown	-		+12.07	Ln-preferring	-	-	-	-	-	-	-			
130	colinpqq_la_a0a3f2yly8_pqq_la_model	colin_la_verified	-		+12.06	Ln-preferring	-	-	-	-	-	-	-			
131	NZ_VLLA01000010_1_84_iptm0_991_s0	spicylams	0.991		+12.06	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_007830635.1_ASM783063v1_genomic	NZ_VLLA01000010.1_84			
132	03_Euk_a0aae1c5y0_domain1chaina-pqq-la_model	unknown	-		+12.03	Ln-preferring	-	-	-	-	-	-	-			
133	NZ_AXAB01000036_1_35_iptm0_987_s0	spicylams	0.987		+12.02	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	604	GCF_000472645.1_ASM47264v1_genomic	NZ_AXAB01000036.1_35			
134	NZ_CP067102_1_2608_iptm0_990_s0	spicylams	0.990		+12.01	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_016616885.1_ASM1661688v1_genomic	NZ_CP067102.1_2608			
135	NZ_CP044543_1_5001_iptm0_990_s0	spicylams	0.990		+12.00	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_008932115.1_ASM893211v1_genomic	NZ_CP044543.1_5001			
136	A0A140E5Y8_methylomonas	colin_extras	-		+11.98	Ln-preferring	-	-	-	-	-	-	-			
137	A0A7V4XRG4_acidobacterium	colin_extras	-		+11.96	Ln-preferring	-	-	-	-	-	-	-			
138	NZ_AXAP01000005_1_104_iptm0_985_s0	spicylams	0.985		+11.89	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	576	GCF_000472865.1_ASM47286v1_genomic	NZ_AXAP01000005.1_104			
139	03_Euk_a0a5n5nxk8_domain1chaina-pqq-la_model	unknown	-		+11.83	Ln-preferring	-	-	-	-	-	-	-			
140	NZ_CP013949_1_5444_iptm0_991_s0	spicylams	0.991		+11.82	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000296215.2_ASM29621v2_genomic	NZ_CP013949.1_5444			
141	03_Euk_s8dgn1_domain1chaina-pqq-la_model	unknown	-		+11.78	Ln-preferring	-	-	-	-	-	-	-			
142	NZ_CP036533_1_6395_iptm0_990_s0	spicylams	0.990		+11.77	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_024585265.1_ASM2458526v1_genomic	NZ_CP036533.1_6395			
143	NC_017249_1_3431_iptm0_985_s0	spicylams	0.985		+11.73	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	604	GCF_000284375.1_ASM28437v1_genomic	NC_017249.1_3431			
144	NZ_FNCU01000051_1_40_iptm0_990_s0	spicylams	0.990		+11.64	Ln-preferring	-	-	-	-	-	-	-			
145	C5CFK5_bryobacter	colin_extras	-		+11.64	Ln-preferring	-	-	-	-	-	-	-			
146	A0A937UUQ3_frankia	colin_extras	-		+11.64	Ln-preferring	-	-	-	-	-	-	-			
147	NZ_JYMS01000044_1_111_iptm0_990_s0	spicylams	0.990		+11.62	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000938285.1_ASM93828v1_genomic	NZ_JYMS01000044.1_111			
148	NZ_JAMJXC010000010_1_16_iptm0_953_s0	spicylams	0.953		+11.61	Ln-preferring	other_PRA-PH	PRA-PH	K01523	1	109	GCF_023571765.1_ASM2357176v1_genomic	NZ_JAMJXC010000010.1_16			
149	NZ_JAGGML010000001_1_1117_iptm0_952_s0	spicylams	0.952		+11.47	Ln-preferring	other_PRA-PH	PRA-PH	K01523	1	109	GCF_017875275.1_ASM1787527v1_genomic	NZ_JAGGML010000001.1_1117			
150	03_Euk_a0aad9wz59_domain1chaina-pqq-la_model	unknown	-		+11.47	Ln-preferring	-	-	-	-	-	-	-			
151	NZ_CP030059_1_5254_iptm0_990_s0	spicylams	0.990		+11.39	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_015291745.1_ASM1529174v1_genomic	NZ_CP030059.1_5254			
152	NZ_SMNT01000047_1_28_iptm0_909_s0	spicylams	0.909		+11.37	Ln-preferring	-	-	-	-	-	-	-			
153	00_Lav_c5axv8-pqq-la_model	unknown	-		+11.37	Ln-preferring	-	-	-	-	-	-	-			
154	NZ_LVEM01000003_1_389_iptm0_990_s0	spicylams	0.990		+11.35	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_001641335.1_ASM164133v1_genomic	NZ_LVEM01000003.1_389			
