# DFT Ca²⁺/Ln³⁺ discriminator — auto-generated
# E_aquo_Ca − E_aquo_La = -646.064556 Ha (= -405411.65 kcal/mol)
# ΔΔE(Ca − La) = (E_holo_Ca − E_holo_La) − (E_aquo_Ca − E_aquo_La)
# Class: Ln-evolved ≥ +20; Ln-preferring +5 to +20; marginal 0 to +5; ambiguous -5 to 0; Ca-evolved < -5
stem	n_atoms	E_La	E_Ca	E_apo	E_water	ddE_kcal	class
NZ_NAEX01000176_1_115_iptm0_990_s0	34	-965.520020	-1611.563378	-934.027087	-76.428549	+13.30	Ln-preferring
03_Euk_a0a420ycp2_domain1chaina-pqq-la_model	55	-2170.929566	-2816.972932	-2139.393771	-76.428549	+13.30	Ln-preferring
NZ_JAFCKB010000005_1_275_iptm0_990_s0	34	-965.386451	-1611.429834	-933.903682	-76.428549	+13.29	Ln-preferring
NZ_JABMCJ010000084_1_105_iptm0_951_rank0	32	-985.053467	-1631.096880	-953.530958	-76.428549	+13.27	Ln-preferring
a0a1s4ant3-la-pqq_model	58	-2210.232523	-2856.275961	-2178.701472	-76.428549	+13.25	Ln-preferring
VAZP01000222_1_12_iptm0_973_s0	35	-1002.132528	-1648.175982	-970.663101	-76.428549	+13.24	Ln-preferring
03_Euk_a0a5n6r0h0_domain1chaina-pqq-la_model	58	-2210.271959	-2856.315429	-2178.738635	-76.428549	+13.23	Ln-preferring
03_Euk_a0a6j5wv68_domain2chaina-pqq-la_model	58	-2210.306707	-2856.350234	-2178.772784	-76.428549	+13.20	Ln-preferring
NZ_AXAS01000040_1_44_iptm0_991_s0	34	-965.549425	-1611.592958	-934.067513	-76.428549	+13.19	Ln-preferring
jabmcj_105_efhand5	32	-985.060083	-1631.103693	-953.538655	-76.428549	+13.14	Ln-preferring
03_Euk_a0a1y1irx0_domain1chaina-pqq-la_model	55	-2170.986875	-2817.030493	-2139.450007	-76.428549	+13.14	Ln-preferring
NZ_JACIDN010000003_1_575_iptm0_990_s0	29	-945.711445	-1591.755065	-914.214799	-76.428549	+13.14	Ln-preferring
03_Euk_a0a815a8z3_domain1chaina-pqq-la_model	58	-2210.148681	-2856.192375	-2178.640371	-76.428549	+13.09	Ln-preferring
RXJC01000147_1_21_iptm0_990_s0	34	-965.591961	-1611.635658	-934.104171	-76.428549	+13.09	Ln-preferring
03_Euk_r8bdi3_domain1chaina-pqq-la_model	58	-2210.237366	-2856.281104	-2178.691911	-76.428549	+13.06	Ln-preferring
03_Euk_a0a1r3gaw4_domain2chaina-pqq-la_model	58	-2210.292438	-2856.336179	-2178.748807	-76.428549	+13.06	Ln-preferring
NC_004463_1_6354_iptm0_990_s0	34	-965.614132	-1611.657921	-934.125550	-76.428549	+13.03	Ln-preferring
NZ_PYFW01000014_1_47_iptm0_990_s0	34	-957.247142	-1603.290947	-925.761770	-76.428549	+13.02	Ln-preferring
NZ_JACCHQ010000010_1_102_iptm0_991_s0	34	-965.588270	-1611.632075	-934.095689	-76.428549	+13.02	Ln-preferring
NZ_FOUS01000018_1_118_iptm0_990_s0	34	-965.562354	-1611.606256	-934.071901	-76.428549	+12.96	Ln-preferring
NZ_CP067100_1_2546_iptm0_990_s0	34	-965.404049	-1611.447964	-933.916476	-76.428549	+12.95	Ln-preferring
NZ_VITY01000007_1_28_iptm0_968_s0	45	-1292.063300	-1938.107259	-1260.573991	-76.428549	+12.92	Ln-preferring
03_Euk_a0aae0i1l4_domain1chaina-pqq-la_model	58	-2210.155622	-2856.199659	-2178.618739	-76.428549	+12.88	Ln-preferring
NZ_JAPRAQ010000023_1_100_iptm0_987_s0	34	-965.475452	-1611.519496	-933.985029	-76.428549	+12.87	Ln-preferring
00_Lav_mmol_2048-pqq-la_model	58	-2210.260610	-2856.304663	-2178.761042	-76.428549	+12.87	Ln-preferring
NZ_CP061379_1_2065_iptm0_990_s0	34	-965.546064	-1611.590148	-934.055088	-76.428549	+12.85	Ln-preferring
NZ_NWTI01000013_1_174_iptm0_990_s0	34	-965.454663	-1611.498769	-933.964443	-76.428549	+12.83	Ln-preferring
03_Euk_a0a2k1j2r4_domain1chaina-pqq-la_model	58	-2210.263614	-2856.307912	-2178.728428	-76.428549	+12.71	Ln-preferring
NZ_CP036533_1_6388_iptm0_968_s0	34	-965.611449	-1611.655777	-934.125930	-76.428549	+12.69	Ln-preferring
NZ_AXAZ01000036_1_56_iptm0_990_s0	34	-965.581135	-1611.625605	-934.086577	-76.428549	+12.60	Ln-preferring
NZ_LSEF01000033_1_112_iptm0_990_s0	34	-965.473455	-1611.518063	-933.988352	-76.428549	+12.52	Ln-preferring
NZ_JYMR01000056_1_195_iptm0_989_s0	34	-965.313290	-1611.358029	-933.822806	-76.428549	+12.43	Ln-preferring
NZ_JADYVS010000003_1_80_iptm0_991_s0	34	-965.595758	-1611.640526	-934.108858	-76.428549	+12.42	Ln-preferring
NZ_CP030048_1_2130_iptm0_990_s0	34	-965.390652	-1611.435584	-933.909165	-76.428549	+12.31	Ln-preferring
NZ_JADPJH010000028_1_321_iptm0_990_s0	34	-965.581854	-1611.626888	-934.095467	-76.428549	+12.25	Ln-preferring
A0A316ECB3_actinobacteriota	28	-795.710096	-1441.755327	-764.271366	-76.428549	+12.13	Ln-preferring
ferncalmod_A0A8T2TXN1	32	-984.931180	-1630.976463	-953.419745	-76.428549	+12.09	Ln-preferring
03_Euk_a0aa39whb7_domain1chaina-pqq-la_model	58	-2210.108087	-2856.153409	-2178.559976	-76.428549	+12.07	Ln-preferring
NZ_VLLA01000010_1_84_iptm0_991_s0	34	-965.526685	-1611.572014	-934.040102	-76.428549	+12.06	Ln-preferring
colinpqq_la_a0a3f2yly8_pqq_la_model	58	-2210.031907	-2856.077249	-2178.524980	-76.428549	+12.06	Ln-preferring
03_Euk_a0aae1c5y0_domain1chaina-pqq-la_model	58	-2210.119841	-2856.165226	-2178.571854	-76.428549	+12.03	Ln-preferring
NZ_AXAB01000036_1_35_iptm0_987_s0	34	-965.490761	-1611.536169	-934.008558	-76.428549	+12.02	Ln-preferring
NZ_CP067102_1_2608_iptm0_990_s0	34	-965.450752	-1611.496161	-933.965120	-76.428549	+12.01	Ln-preferring
NZ_CP044543_1_5001_iptm0_990_s0	34	-965.610874	-1611.656311	-934.123744	-76.428549	+12.00	Ln-preferring
A0A140E5Y8_methylomonas	29	-945.705433	-1591.750897	-914.220803	-76.428549	+11.98	Ln-preferring
A0A7V4XRG4_acidobacterium	37	-984.530432	-1630.575922	-953.128105	-76.428549	+11.96	Ln-preferring
NZ_AXAP01000005_1_104_iptm0_985_s0	34	-957.109995	-1603.155600	-925.617385	-76.428549	+11.89	Ln-preferring
03_Euk_a0a5n5nxk8_domain1chaina-pqq-la_model	58	-2210.266717	-2856.312422	-2178.722020	-76.428549	+11.83	Ln-preferring
NZ_CP013949_1_5444_iptm0_991_s0	34	-965.606722	-1611.652446	-934.115660	-76.428549	+11.82	Ln-preferring
03_Euk_s8dgn1_domain1chaina-pqq-la_model	58	-2210.237476	-2856.283260	-2178.696357	-76.428549	+11.78	Ln-preferring
NZ_CP036533_1_6395_iptm0_990_s0	34	-965.594690	-1611.640492	-934.106823	-76.428549	+11.77	Ln-preferring
NC_017249_1_3431_iptm0_985_s0	34	-965.626898	-1611.672752	-934.138192	-76.428549	+11.73	Ln-preferring
A0A937UUQ3_frankia	31	-872.089646	-1518.135646	-840.633281	-76.428549	+11.64	Ln-preferring
C5CFK5_bryobacter	32	-985.047277	-1631.093279	-953.564502	-76.428549	+11.64	Ln-preferring
NZ_FNCU01000051_1_40_iptm0_990_s0	34	-965.567030	-1611.613039	-934.076825	-76.428549	+11.64	Ln-preferring
NZ_JYMS01000044_1_111_iptm0_990_s0	34	-965.497104	-1611.543136	-934.006092	-76.428549	+11.62	Ln-preferring
NZ_JAMJXC010000010_1_16_iptm0_953_s0	38	-1063.612617	-1709.658677	-1032.126522	-76.428549	+11.61	Ln-preferring
NZ_JAGGML010000001_1_1117_iptm0_952_s0	38	-1063.605164	-1709.651442	-1032.115427	-76.428549	+11.47	Ln-preferring
03_Euk_a0aad9wz59_domain1chaina-pqq-la_model	58	-2210.133217	-2856.179498	-2178.593408	-76.428549	+11.47	Ln-preferring
NZ_CP030059_1_5254_iptm0_990_s0	34	-965.479736	-1611.526136	-934.001337	-76.428549	+11.39	Ln-preferring
NZ_SMNT01000047_1_28_iptm0_909_s0	25	-756.327915	-1402.374350	-724.881348	-76.428549	+11.37	Ln-preferring
00_Lav_c5axv8-pqq-la_model	51	-1981.456395	-2627.502835	-1949.983036	-76.428549	+11.37	Ln-preferring
NZ_LVEM01000003_1_389_iptm0_990_s0	34	-965.513961	-1611.560435	-934.022185	-76.428549	+11.35	Ln-preferring
03_Euk_a0a9p4xub3_domain1chaina-pqq-la_model	58	-2210.259575	-2856.306074	-2178.712320	-76.428549	+11.33	Ln-preferring
03_Euk_a0a498hd21_domain1chaina-pqq-la_model	58	-2210.292588	-2856.339148	-2178.749314	-76.428549	+11.29	Ln-preferring
NC_014313_1_1306_iptm0_986_s0	34	-965.594893	-1611.641544	-934.103991	-76.428549	+11.24	Ln-preferring
NZ_CP041656_2_2062_iptm0_990_s0	34	-965.428639	-1611.475313	-933.945382	-76.428549	+11.22	Ln-preferring
03_Euk_a0aae0ix53_domain1chaina-pqq-la_model	58	-2210.274004	-2856.320716	-2178.732492	-76.428549	+11.20	Ln-preferring
NZ_JACOFQ010000002_1_217_iptm0_990_s0	34	-965.594694	-1611.641433	-934.104137	-76.428549	+11.18	Ln-preferring
03_Euk_a0a420y6j0_domain1chaina-pqq-la_model	58	-2210.277339	-2856.324116	-2178.736096	-76.428549	+11.16	Ln-preferring
03_Euk_a0aae0n2m5_domain1chaina-pqq-la_model	58	-2210.243114	-2856.290012	-2178.707922	-76.428549	+11.08	Ln-preferring
lanmfusion_NZ_LFLZ	32	-984.920167	-1630.967193	-953.417328	-76.428549	+11.00	Ln-preferring
A0A0P6Z0V4_methylosinus	22	-717.011165	-1363.058193	-685.538374	-76.428549	+11.00	Ln-preferring
NZ_LFJB01000074_1_27_iptm0_990_s0	34	-965.266170	-1611.313220	-933.788261	-76.428549	+10.98	Ln-preferring
NZ_JAIRDQ010000001_1_964_iptm0_991_s0	34	-965.581061	-1611.628215	-934.096633	-76.428549	+10.92	Ln-preferring
NZ_JADPKR010000114_1_107_iptm0_990_s0	34	-965.583155	-1611.630367	-934.098030	-76.428549	+10.88	Ln-preferring
NZ_JACCHP010000004_1_195_iptm0_990_s0	34	-965.603007	-1611.650278	-934.108345	-76.428549	+10.85	Ln-preferring
03_Euk_a0a6a6ugb5_domain1chaina-pqq-la_model	58	-2210.282355	-2856.329928	-2178.742996	-76.428549	+10.66	Ln-preferring
Q2JD03_frankia	22	-717.129836	-1363.177458	-685.681470	-76.428549	+10.63	Ln-preferring
NZ_PSRR01000126_1_8_iptm0_990_s0	34	-965.440497	-1611.488148	-933.953598	-76.428549	+10.61	Ln-preferring
calexcitin	32	-984.834752	-1630.882430	-953.326280	-	+10.59	Ln-preferring
NZ_JAFCKP010000020_1_66_iptm0_990_s0	34	-965.337809	-1611.385577	-933.853895	-76.428549	+10.53	Ln-preferring
A0A937RKB4_frankia	25	-756.422536	-1402.470319	-724.985747	-76.428549	+10.53	Ln-preferring
NZ_JAKLTY010000003_1_178_iptm0_990_s0	34	-965.427680	-1611.475490	-933.946175	-76.428549	+10.51	Ln-preferring
NZ_LGHM01000118_1_20_iptm0_991_s0	34	-965.505357	-1611.553209	-934.014759	-76.428549	+10.48	Ln-preferring
C5CIA3_bryobacter	31	-834.945694	-1480.993644	-803.515796	-76.428549	+10.42	Ln-preferring
03_Euk_a0aae0nge8_domain1chaina-pqq-la_model	58	-2210.222222	-2856.270217	-2178.687700	-76.428549	+10.39	Ln-preferring
JACMOT010000131_1_6_iptm0_989_s0	22	-717.171337	-1363.219476	-685.733676	-76.428549	+10.30	Ln-preferring
C5CIJ8_bryobacter	32	-985.047444	-1631.095812	-953.538850	-76.428549	+10.16	Ln-preferring
NZ_JALBHA010000014_1_25_iptm0_991_s0	34	-965.538010	-1611.586384	-934.054827	-76.428549	+10.15	Ln-preferring
rtxbroll_A0A3M2BIM9	22	-717.175405	-1363.223849	-685.707271	-76.428549	+10.11	Ln-preferring
calcineurinB_A0A8T2R3R7	32	-985.061495	-1631.109948	-953.550795	-76.428549	+10.10	Ln-preferring
NZ_WVUF01000003_1_61_iptm0_990_s0	34	-965.484238	-1611.532692	-934.001511	-76.428549	+10.10	Ln-preferring
NZ_SPQT01000017_1_113_iptm0_986_s0	34	-965.387793	-1611.436257	-933.913511	-76.428549	+10.10	Ln-preferring
NZ_JADPKK010000023_1_345_iptm0_990_s0	34	-965.566300	-1611.614790	-934.081229	-76.428549	+10.08	Ln-preferring
NZ_VSSR01000081_1_64_iptm0_991_s0	34	-965.403007	-1611.451623	-933.923056	-76.428549	+10.00	Ln-preferring
typeAorphan_NZ_JADPKR	43	-1174.618454	-1820.667194	-1143.146159	-76.428549	+9.92	Ln-preferring
A0A1H1NKW3_actinobacteriota	29	-945.714365	-1591.763152	-914.245511	-76.428549	+9.90	Ln-preferring
NZ_LUUM01000248_1_5_iptm0_925_s0	41	-1102.790710	-1748.839546	-1071.301909	-76.428549	+9.86	Ln-preferring
03_Euk_a0a175wb53_domain1chaina-pqq-la_model	58	-2210.216406	-2856.265383	-2178.673563	-76.428549	+9.78	Ln-preferring
colinpqq_la_c5axv8_pqq_la_model	51	-1981.565640	-2627.614652	-1950.096202	-76.428549	+9.75	Ln-preferring
NZ_JADNQW010000005_1_1063_iptm0_910_s0	41	-1102.831014	-1748.880107	-1071.346246	-76.428549	+9.70	Ln-preferring
NZ_PYFX01000022_1_46_iptm0_966_s0	34	-965.583965	-1611.633105	-934.105387	-76.428549	+9.67	Ln-preferring
NZ_PSRS01000033_1_36_iptm0_982_s0	34	-965.433450	-1611.482592	-933.947986	-76.428549	+9.67	Ln-preferring
C1F918_acidobacterium	25	-756.440899	-1402.490058	-724.995331	-76.428549	+9.66	Ln-preferring
NZ_LMNG01000013_1_17_iptm0_959_s0	38	-1063.601292	-1709.650453	-1032.145102	-76.428549	+9.66	Ln-preferring
NZ_VRUW01000024_1_49_iptm0_989_s0	34	-965.506780	-1611.556011	-934.026144	-76.428549	+9.62	Ln-preferring
NZ_JAHBGE010000013_1_26_iptm0_973_s0	29	-945.445115	-1591.494434	-913.985790	-76.428549	+9.56	Ln-preferring
NZ_DF820425_1_6134_iptm0_990_s0	34	-965.515621	-1611.565031	-934.036541	-76.428549	+9.50	Ln-preferring
D3F1U8_conexibacter	41	-1102.884115	-1748.933626	-1071.390003	-76.428549	+9.44	Ln-preferring
03_Euk_a0a814puq6_domain1chaina-pqq-la_model	58	-2210.251615	-2856.301164	-2178.741589	-76.428549	+9.42	Ln-preferring
NZ_JADPKS010000078_1_42_iptm0_991_s0	34	-965.486672	-1611.536255	-934.003197	-76.428549	+9.40	Ln-preferring
03_Euk_a0a8s0wv60_domain1chaina-pqq-la_model	25	-756.473302	-1402.522899	-725.017961	-76.428549	+9.39	Ln-preferring
A0A6H1Q0V3_pelagibacter	28	-795.450809	-1441.500518	-764.002905	-76.428549	+9.32	Ln-preferring
NZ_JADPKA010000066_1_202_iptm0_990_s0	34	-965.529924	-1611.579639	-934.047969	-76.428549	+9.31	Ln-preferring
